id,sex,cross_direction
170,f,(BxS)x(BxS)
171,f,(BxS)x(BxS)
172,f,(BxS)x(BxS)
173,f,(BxS)x(BxS)
174,f,(BxS)x(BxS)
175,f,(BxS)x(BxS)
176,f,(BxS)x(BxS)
177,f,(BxS)x(BxS)
178,f,(BxS)x(BxS)
179,f,(BxS)x(BxS)
180,f,(BxS)x(BxS)
181,f,(BxS)x(BxS)
182,f,(BxS)x(BxS)
183,f,(BxS)x(BxS)
184,f,(BxS)x(BxS)
185,f,(BxS)x(BxS)
186,f,(BxS)x(BxS)
187,f,(BxS)x(BxS)
188,f,(BxS)x(BxS)
189,f,(BxS)x(BxS)
190,f,(BxS)x(BxS)
191,f,(BxS)x(BxS)
192,f,(BxS)x(BxS)
193,f,(BxS)x(BxS)
194,f,(BxS)x(BxS)
195,f,(BxS)x(BxS)
196,f,(BxS)x(BxS)
197,f,(BxS)x(BxS)
198,f,(BxS)x(BxS)
199,f,(BxS)x(BxS)
200,f,(BxS)x(BxS)
201,f,(BxS)x(BxS)
202,f,(BxS)x(BxS)
203,f,(BxS)x(BxS)
204,f,(BxS)x(BxS)
205,f,(BxS)x(BxS)
206,f,(BxS)x(BxS)
207,f,(BxS)x(BxS)
208,f,(BxS)x(BxS)
209,f,(BxS)x(BxS)
210,f,(BxS)x(BxS)
211,f,(SxB)x(SxB)
212,f,(SxB)x(SxB)
213,f,(SxB)x(SxB)
214,f,(SxB)x(SxB)
215,f,(SxB)x(SxB)
216,f,(SxB)x(SxB)
217,f,(SxB)x(SxB)
218,f,(SxB)x(SxB)
219,f,(SxB)x(SxB)
220,f,(SxB)x(SxB)
221,f,(SxB)x(SxB)
222,f,(SxB)x(SxB)
223,f,(SxB)x(SxB)
224,f,(SxB)x(SxB)
225,f,(SxB)x(SxB)
226,f,(SxB)x(SxB)
227,f,(SxB)x(SxB)
228,f,(SxB)x(SxB)
229,f,(SxB)x(SxB)
230,f,(SxB)x(SxB)
231,f,(SxB)x(SxB)
232,f,(SxB)x(SxB)
233,f,(SxB)x(SxB)
234,f,(SxB)x(SxB)
235,f,(SxB)x(SxB)
236,f,(SxB)x(SxB)
237,f,(SxB)x(SxB)
238,f,(SxB)x(SxB)
239,f,(SxB)x(SxB)
240,f,(SxB)x(SxB)
241,f,(SxB)x(SxB)
242,f,(SxB)x(SxB)
243,f,(SxB)x(SxB)
244,f,(SxB)x(SxB)
245,f,(SxB)x(SxB)
246,f,(SxB)x(SxB)
247,f,(SxB)x(SxB)
248,f,(SxB)x(SxB)
249,f,(SxB)x(SxB)
250,f,(SxB)x(SxB)
251,f,(SxB)x(SxB)
252,f,(SxB)x(SxB)
253,f,(SxB)x(SxB)
254,f,(SxB)x(SxB)
255,f,(SxB)x(SxB)
256,f,(SxB)x(SxB)
257,f,(SxB)x(SxB)
258,f,(SxB)x(SxB)
259,f,(SxB)x(SxB)
260,f,(SxB)x(SxB)
261,f,(SxB)x(SxB)
262,f,(SxB)x(SxB)
263,f,(SxB)x(SxB)
264,f,(SxB)x(SxB)
265,f,(SxB)x(SxB)
266,f,(SxB)x(SxB)
267,f,(SxB)x(SxB)
268,f,(SxB)x(SxB)
269,f,(SxB)x(SxB)
270,f,(SxB)x(SxB)
271,f,(SxB)x(SxB)
272,f,(SxB)x(SxB)
273,f,(SxB)x(SxB)
274,f,(SxB)x(SxB)
275,f,(SxB)x(SxB)
276,f,(SxB)x(SxB)
277,f,(SxB)x(SxB)
278,f,(SxB)x(SxB)
279,f,(SxB)x(SxB)
280,f,(SxB)x(SxB)
281,f,(SxB)x(SxB)
282,f,(SxB)x(SxB)
283,f,(SxB)x(SxB)
284,f,(SxB)x(SxB)
