id,liver,spleen
247,119.15,336.07
248,181.56,406.91
249,104.64,599.81
250,165.48,671.55
251,94.19,488.66
252,109.62,413.15
253,148.65,379
254,94.68,650.65
255,85.78,444.88
256,155.23,597.14
257,70.99,382.95
258,112.64,675.37
259,97.45,364.22
260,89.87,411.24
261,173.66,591.28
262,82.28,266.37
263,73.57,623.38
264,61.4,373.78
265,84.91,275.67
266,123.27,633.53
267,79.9,283.56
268,172.23,416.8
269,85.35,224.79
270,263.74,462.61
271,104.62,369.24
272,98.83,358.8
273,121.53,484.03
274,180.14,323.32
275,175.38,306.74
276,178.22,378.47
277,120.67,345.95
278,117.63,315.63
279,93.74,538.62
280,155.47,495.45
281,167.5,322.11
282,108.47,382.75
283,83.46,330.79
284,73.84,258.29
